Region,Month,Month Number,Key,Avg Temp,Temperature Range
"Canada","May",5,"Canada5",55.400000000000006,"Warm"
"Canada","June",6,"Canada6",64.4,"Warm"
"Canada","Jul",7,"Canada7",69.800000000000011,"Warm"
"Canada","Aug",8,"Canada8",68,"Warm"
"Canada","Sep",9,"Canada9",59,"Warm"
"Canada","Oct",10,"Canada10",48.2,"Cool"
"Canada","Nov",11,"Canada11",35.6,"Cold"
"Canada","Dec",12,"Canada12",19.4,"Cold"
"France","Jan",1,"France1",37.4,"Cold"
"France","Feb",2,"France2",39.2,"Cold"
"France","Mar",3,"France3",44.6,"Cool"
"France","Apr",4,"France4",50,"Cool"
"France","May",5,"France5",57.2,"Warm"
"France","June",6,"France6",62.6,"Warm"
"France","Jul",7,"France7",66.2,"Warm"
"France","Aug",8,"France8",64.4,"Warm"
"France","Sep",9,"France9",60.8,"Warm"
"France","Oct",10,"France10",51.8,"Cool"
"France","Nov",11,"France11",44.6,"Cool"
"France","Dec",12,"France12",39.2,"Cold"
"Australia","Jan",1,"Australia1",71.6,"Hot"
"Australia","Feb",2,"Australia2",71.6,"Hot"
"Australia","Mar",3,"Australia3",69.800000000000011,"Warm"
"Australia","Apr",4,"Australia4",64.4,"Warm"
"Australia","May",5,"Australia5",59,"Warm"
"Australia","June",6,"Australia6",53.6,"Cool"
"Australia","Jul",7,"Australia7",53.6,"Cool"
"Australia","Aug",8,"Australia8",55.400000000000006,"Warm"
"Australia","Sep",9,"Australia9",59,"Warm"
"Australia","Oct",10,"Australia10",62.6,"Warm"
"Australia","Nov",11,"Australia11",66.2,"Warm"
"Australia","Dec",12,"Australia12",69.800000000000011,"Warm"
"United Kingdom","Jan",1,"United Kingdom1",41,"Cool"
"United Kingdom","Feb",2,"United Kingdom2",42.8,"Cool"
"United Kingdom","Mar",3,"United Kingdom3",44.6,"Cool"
"United Kingdom","Apr",4,"United Kingdom4",50,"Cool"
"United Kingdom","May",5,"United Kingdom5",55.400000000000006,"Warm"
"United Kingdom","June",6,"United Kingdom6",60.8,"Warm"
"United Kingdom","Jul",7,"United Kingdom7",64.4,"Warm"
"United Kingdom","Aug",8,"United Kingdom8",64.4,"Warm"
"United Kingdom","Sep",9,"United Kingdom9",60.8,"Warm"
"United Kingdom","Oct",10,"United Kingdom10",55.400000000000006,"Warm"
"United Kingdom","Nov",11,"United Kingdom11",48.2,"Cool"
"United Kingdom","Dec",12,"United Kingdom12",42.8,"Cool"
